	TCGA-A6-2671-01A	TCGA-A6-2675-01A	TCGA-A6-2678-01A	TCGA-A6-2679-01A	TCGA-A6-2680-01A	TCGA-A6-2671-11A	TCGA-A6-2675-11A	TCGA-A6-2678-11A	TCGA-A6-2679-11A	TCGA-A6-2680-11A
A1CF	19	1087	1065	28	511	2980	1005	4837	2246	6318
A2M	6205	22375	7410	460	6517	31626	34948	60304	36127	22337
A4GALT	222	661	99	81	225	757	1114	746	513	668
AAAS	1373	1660	1307	365	1250	1647	1078	2007	1677	1440
AACS	1490	1801	1350	531	1960	2789	2662	2776	2755	2229
AADACP1	22	69	53	0	21	69	63	80	41	984
AADAT	202	347	300	32	137	156	172	187	143	104
AAED1	286	292	206	13	106	324	367	440	264	360
AAGAB	1201	1409	2250	104	1637	2944	2386	2744	2658	2860
AAK1	1045	2504	1102	56	495	2276	2754	2444	1860	1635
AAMDC	517	556	388	170	219	964	587	981	637	1148
AAMP	5930	5635	3354	1603	4696	8838	4789	8647	7882	8277
AAR2	1927	2700	1299	413	1132	2560	2026	2468	1885	2646
AARS	3860	5862	5920	999	5572	5626	4631	4805	5207	4573
AARS2	597	760	528	234	469	868	688	1509	1043	1355
AARSD1	77	180	89	16	81	116	87	145	109	104
AASDH	139	362	367	8	125	349	290	563	422	484
AASDHPPT	336	1498	1109	62	363	947	844	1285	828	1002
AASS	40	110	38	0	68	81	178	198	123	201
AATBC	54	99	49	0	78	38	35	49	48	10
AATF	2462	3751	1176	368	1926	2912	1976	2861	2291	3222
AATK	391	176	109	153	609	540	303	304	236	3371
AB019441.29	92	92	63	33	80	148	66	120	95	88
ABALON	52	106	50	11	26	18	15	19	19	38
ABAT	1035	1129	466	107	1364	1543	839	2355	1838	5635
ABCA1	414	2074	819	10	307	2167	2312	4196	1945	1034
ABCA10	6	44	31	0	8	81	70	240	96	462
ABCA11P	5	37	13	7	13	31	41	43	22	36
ABCA13	44	17	33	1	6	29	16	34	18	26
ABCA2	4183	1769	1409	622	2330	4704	2976	4726	2906	2890
ABCA3	200	480	52	54	86	754	1176	780	476	702
ABCA5	49	988	586	9	146	1836	996	2595	1415	4146
ABCA6	34	104	50	0	9	198	326	576	203	317
ABCA7	651	875	438	253	612	1022	500	1336	1232	642
ABCA8	88	292	9	14	27	1783	2293	3740	1812	1595
ABCA9	45	47	29	0	10	354	373	488	144	371
ABCB1	846	1821	949	202	307	10249	7689	6045	3493	32187
ABCB10	253	1117	1431	69	597	1610	1028	1893	1224	2212
ABCB4	21	71	54	1	17	62	90	95	90	92
ABCB6	164	116	77	40	136	104	83	106	125	164
ABCB7	553	1107	910	71	638	1164	871	1659	926	1398
ABCB8	1798	1735	930	594	1559	2024	1217	1819	1887	1908
ABCB9	164	239	168	91	147	398	177	356	378	471
ABCC1	3936	4865	1483	291	2534	2211	3300	2308	2932	1158
ABCC10	1169	2058	809	295	1385	1370	1053	1580	1471	1458
ABCC13	2	88	8	3	40	549	169	237	394	1410
ABCC2	11	137	25	10	292	21	20	43	29	3218
ABCC3	3125	7860	4890	1079	8336	13906	7757	18538	13326	8057
ABCC4	1336	1135	443	93	165	1904	980	2517	1162	640
ABCC5	1316	1495	440	107	532	1136	1373	2093	1188	937
ABCC6	127	926	101	52	491	941	426	1020	991	3602
ABCC6P1	10	67	5	12	41	176	13	49	137	376
ABCC6P2	7	35	7	3	33	116	37	87	72	138
ABCC9	101	169	114	1	51	340	777	292	45	578
ABCD1	869	1113	406	216	718	1734	1211	1502	1241	6754
ABCD3	743	3114	4182	120	1146	7237	3637	8267	5506	10236
ABCD4	484	1332	409	92	498	2742	1201	3073	2105	4034
ABCE1	1380	2891	3854	45	772	1751	2181	2467	1919	1509
ABCF1	3525	5059	1540	679	2502	4944	4440	4880	3859	6110
ABCF2	2992	3613	2005	529	2467	3451	2384	2946	2464	2417
ABCF3	2351	2125	1231	426	1729	2932	1646	2924	2664	3277
ABCG1	605	2914	1216	379	920	4356	1550	3448	3804	9513
ABCG2	21	157	47	0	62	5624	1303	6241	4858	26958
ABHD10	695	821	1325	160	488	1210	840	1456	941	1145
ABHD11	1970	3675	1687	1436	3287	3852	1990	3170	3610	3583
ABHD11-AS1	34	187	74	258	257	939	337	945	1173	1806
ABHD12	2738	7374	2455	1630	4195	5545	2439	4509	4509	11540
ABHD13	500	731	1310	69	502	1171	862	1310	846	1454
ABHD14A	219	206	305	125	236	478	395	403	419	402
ABHD14B	1450	2976	4123	794	2745	6884	3208	7392	4745	10666
ABHD15	312	1030	379	68	482	1698	793	2173	1464	2832
ABHD16A	173	435	117	46	182	438	261	411	349	499
ABHD17A	913	1035	539	528	866	2160	1095	1764	1871	2048
ABHD17B	401	813	923	54	347	1578	739	1708	1046	1459
ABHD17C	1992	3003	5050	496	2529	10372	4688	8908	7879	7334
ABHD2	10932	10604	15697	442	6372	6838	6381	7661	7584	9640
ABHD3	338	1360	736	87	513	6680	3003	7023	6429	3875
ABHD4	536	1164	370	120	492	2013	1615	2545	1745	2402
ABHD5	348	463	555	44	285	1146	718	1554	1151	1547
ABHD6	355	676	543	104	401	1386	1097	1908	1371	6070
ABHD8	238	149	94	67	119	544	446	479	377	290
ABI1	2399	3917	3734	259	1569	4487	2890	5156	3860	5100
ABI2	868	1238	1173	46	531	1399	2522	1339	843	1043
ABI3	293	452	190	230	272	829	325	841	1780	494
ABI3BP	90	577	116	4	66	1822	6607	3418	2000	1613
ABL1	4628	5913	3691	736	2410	9188	11956	10845	7139	7359
ABL2	630	1306	859	64	496	788	996	938	791	701
ABLIM1	3046	5407	6103	581	3813	9102	7566	12074	7605	11825
ABLIM2	435	1672	809	349	847	872	309	1063	424	456
ABLIM3	233	284	63	18	90	626	725	633	513	697
ABO	3614	6589	1483	454	2787	9017	9606	5026	11558	12197
ABR	7189	7900	3419	1825	5226	15461	8338	16712	13047	11685
ABRACL	774	2724	926	377	1035	4195	1384	3362	3366	4575
ABT1	1114	1673	807	395	1148	1971	1099	1839	1516	1968
ABTB1	1039	1532	359	378	649	1651	1111	1887	1025	3174
ABTB2	1554	1403	376	79	274	1926	1874	1492	1436	1423
AC000068.5	9	20	15	0	1	37	13	27	26	30
AC000089.3	35	22	10	7	13	63	34	44	48	28
AC000123.2	32	127	129	0	55	140	117	179	116	157
AC000123.3	10	29	14	0	16	13	19	19	14	18
AC000123.4	1	39	18	1	6	22	21	24	12	28
AC002116.7	10	3	13	3	24	10	6	16	14	4
AC002310.12	7	61	45	19	11	43	47	69	30	50
AC002310.14	63	42	35	18	61	253	106	269	222	125
AC002398.13	6	20	8	0	1	16	13	18	29	16
AC002467.7	33	88	57	9	29	121	50	109	108	55
AC003075.4	15	7	12	0	15	25	6	24	14	36
AC004067.5	12	23	10	3	2	8	10	17	16	20
AC004076.5	17	11	21	0	6	13	13	15	9	18
AC004166.6	11	9	3	0	8	11	17	19	13	28
AC004381.6	131	94	166	42	130	172	71	207	158	165
AC004447.2	140	348	201	57	160	261	193	309	246	134
AC004453.8	898	49	108	476	162	73	37	90	42	55
AC004540.5	16	28	5	0	5	26	22	18	34	18
AC004893.11	34	96	47	4	55	167	150	235	163	206
AC004951.5	2	11	9	0	4	26	18	40	31	24
AC004967.7	50	97	87	27	65	51	56	84	60	63
AC004980.7	37	46	37	3	58	81	35	85	55	89
AC004987.9	84	42	43	18	8	80	26	65	78	56
AC005076.5	16	14	8	1	18	25	16	27	19	15
AC005077.12	1	26	36	0	4	26	32	41	22	6
AC005077.14	10	74	129	9	32	162	142	180	118	40
AC005083.1	4	61	102	9	41	64	24	82	49	523
AC005154.6	234	475	304	83	188	502	467	844	478	500
AC005224.2	8	12	0	0	5	17	5	38	22	44
AC005229.1	3	25	12	1	23	22	37	37	19	37
AC005253.2	20	71	61	4	21	24	32	131	37	45
AC005336.4	46	29	111	2	21	43	25	108	30	706
AC005355.2	72	240	301	44	191	417	230	521	465	404
AC005519.4	1	33	4	6	1	9	5	35	9	6
AC005550.3	1	38	18	0	45	542	125	217	135	747
AC005562.1	12	69	19	1	8	64	59	98	61	79
AC005618.6	6	8	23	0	7	9	46	24	6	22
AC005682.5	8	12	4	1	2	34	51	50	18	40
AC005785.2	53	14	15	46	10	15	8	18	21	18
AC006042.6	14	54	19	6	26	31	30	80	23	28
AC006126.4	16	24	14	0	25	48	25	37	52	31
AC006128.2	28	70	9	18	20	8	22	26	50	49
AC006277.3	10	14	24	2	16	10	11	24	17	15
AC006486.10	11	14	7	0	11	17	10	19	18	15
AC006547.13	47	81	46	6	36	70	101	107	83	130
AC006978.6	248	219	169	12	124	542	296	592	460	437
AC007128.1	13	8	7	0	16	1	1	1	1	0
AC007191.4	107	92	90	8	52	30	42	75	31	33
AC007228.9	17	48	40	0	12	45	51	70	28	92
AC007238.1	54	8	97	15	16	40	20	33	25	42
AC007246.3	38	223	202	5	57	381	298	423	257	694
AC007255.8	49	138	63	0	84	111	64	143	96	93
AC007292.3	16	21	16	0	14	20	18	14	26	67
AC007292.6	23	27	16	0	10	54	18	50	60	38
AC007318.5	139	57	53	24	38	512	120	323	81	504
AC007383.3	25	60	14	1	18	81	56	94	70	72
AC007405.6	59	7	15	13	93	29	18	29	19	19
AC007773.2	11	10	100	0	9	2	3	14	4	19
AC007969.5	596	191	263	289	286	214	138	120	142	128
AC008079.10	19	25	10	0	16	49	22	50	41	66
AC008746.12	24	32	21	2	8	7	4	23	15	14
AC009005.2	95	69	71	71	94	143	42	127	98	42
AC009014.3	3	94	32	62	322	588	348	1005	847	1025
AC009120.3	5	22	20	0	9	12	16	31	13	17
AC009120.6	45	180	159	8	74	110	92	204	88	130
AC009133.12	139	397	234	52	252	829	283	1129	898	528
AC009237.8	57	66	74	3	27	46	51	77	44	44
AC009245.3	30	7	10	10	8	31	11	25	19	23
AC009299.3	39	72	41	2	39	108	43	99	74	148
AC009303.2	12	45	26	0	22	90	60	82	60	222
AC009403.2	43	108	130	28	148	161	85	146	114	377
AC009404.2	33	87	41	13	35	21	34	49	21	39
AC009506.1	21	69	25	3	44	200	131	181	155	145
AC009948.5	43	153	27	0	10	95	165	138	90	111
AC009961.3	5	11	10	0	3	23	14	14	16	24
AC010468.1	70	8	3	7	22	34	8	43	18	17
AC010642.1	11	10	11	1	3	13	14	17	17	11
AC010733.5	7	8	22	3	8	8	11	24	10	25
AC010761.8	28	70	13	5	47	27	18	58	38	25
AC010976.2	16	35	22	1	17	15	23	49	19	30
AC011290.5	14	35	22	0	34	5	9	31	19	12
AC011298.2	0	147	5	2	47	40	25	66	60	134
AC011747.4	30	47	51	0	41	77	34	140	54	80
AC011899.9	51	94	39	24	44	131	47	189	181	94
AC012146.7	4	16	7	0	6	51	28	49	61	64
AC012314.8	47	22	45	11	17	13	14	41	25	40
AC012358.4	12	20	7	8	17	45	32	35	30	49
AC012360.6	11	45	20	0	12	33	24	70	21	27
AC015849.19	9	28	11	1	7	15	19	37	16	15
AC016292.3	53	26	6	82	7	25	15	23	20	26
AC016708.2	16	23	122	3	24	8	8	15	11	729
AC016734.2	14	19	15	6	8	29	14	9	28	33
AC016735.1	21	105	10	5	10	15	12	21	24	20
AC016738.4	14	21	5	12	28	17	12	64	12	18
AC016739.2	633	39	216	1173	280	187	18	181	131	130
AC016747.3	18	57	36	0	4	69	79	98	85	50
AC016831.7	82	86	215	56	34	68	53	41	15	11
AC017074.2	18	48	156	1	25	54	24	69	63	47
AC018738.2	39	126	8	101	12	298	77	125	211	121
AC018766.4	40	35	10	1	31	7	10	26	27	9
AC018804.7	152	32	815	27	28	90	105	477	240	27
AC021218.2	902	1175	761	128	523	260	301	218	354	738
AC022007.5	47	65	23	10	55	78	55	63	37	43
AC022210.2	36	8	21	17	13	19	4	31	17	13
AC024560.3	177	472	289	36	176	491	449	734	361	482
AC024592.9	70	79	37	4	4	41	24	157	154	70
AC025171.1	8	60	24	4	7	38	37	56	45	30
AC025335.1	99	126	83	15	42	127	126	177	98	157
AC026271.5	28	73	12	9	12	80	46	79	42	50
AC026471.6	6	24	3	6	6	25	10	11	25	26
AC027601.1	63	89	18	29	48	18	22	46	42	49
AC027612.6	127	82	79	38	47	181	79	95	181	199
AC034220.3	8	90	85	9	54	137	122	328	122	131
AC046143.3	42	62	40	2	16	98	69	142	64	25
AC053503.4	10	13	13	0	14	19	2	37	17	99
AC058791.1	70	110	91	11	49	24	46	19	20	27
AC062029.1	31	43	54	3	34	74	28	107	90	56
AC068282.3	70	92	61	0	31	72	61	61	52	264
AC068580.6	57	92	40	10	44	105	29	153	73	142
AC069213.1	150	30	162	29	99	1036	5	223	466	65
AC069282.6	26	80	82	0	26	80	56	145	86	76
AC073254.1	19	48	53	0	26	93	73	125	61	73
AC073283.4	5	71	36	0	25	541	126	306	201	266
AC074117.10	100	311	112	29	108	168	134	196	124	158
AC074212.5	21	38	5	32	22	38	21	29	41	16
AC074212.6	19	35	2	1	7	19	17	18	19	31
AC074286.1	18	58	20	2	26	45	51	65	35	34
AC074289.1	6	23	7	1	23	31	24	43	37	31
AC079250.1	135	16	25	57	26	53	6	50	28	19
AC079807.2	32	20	15	0	17	39	33	57	43	29
AC079922.3	67	25	53	29	51	103	57	89	71	105
AC083843.1	49	163	49	5	47	96	109	286	99	169
AC083899.3	30	102	41	2	13	66	48	52	78	58
AC087491.2	11	47	30	0	42	89	21	87	58	33
AC090587.2	28	38	7	0	9	13	9	47	14	23
AC091729.9	248	102	132	12	200	182	95	124	57	171
AC092066.1	227	395	238	78	224	318	310	386	225	309
AC092171.4	837	441	279	310	321	617	423	620	545	448
AC093110.3	12	48	24	0	6	46	101	135	53	69
AC093162.5	36	99	53	1	86	83	37	171	181	101
AC093323.3	285	405	408	54	231	662	528	541	506	580
AC093495.4	26	49	21	0	6	27	62	65	37	69
AC093620.5	8	21	8	2	14	11	18	13	11	12
AC093627.10	19	41	17	19	7	61	76	112	46	172
AC093627.9	8	16	30	9	8	24	15	33	38	59
AC093642.3	15	9	10	3	6	15	23	41	41	49
AC093642.5	16	51	23	0	3	39	62	83	43	85
AC093673.5	86	167	95	5	93	100	288	131	109	247
AC093724.2	154	71	65	45	35	16	22	40	25	12
AC093818.1	40	70	25	2	32	98	62	163	115	67
AC093838.4	338	491	486	75	372	407	450	465	361	436
AC096772.6	53	161	107	0	29	198	157	301	144	188
AC097662.2	11	21	26	0	6	20	25	39	22	23
AC098614.2	93	35	44	0	18	65	78	58	56	252
AC099850.1	11	18	11	1	13	15	16	27	22	44
AC104534.2	1	29	6	0	80	43	32	60	39	69
AC104667.3	35	30	77	15	5	21	18	26	14	124
AC105760.2	11	11	3	0	13	16	16	25	10	17
AC106876.2	112	247	149	103	87	231	107	243	149	364
AC107983.4	19	26	2	4	4	55	12	30	27	21
AC108488.4	15	60	17	0	21	41	84	65	29	58
AC112497.1	38	67	40	4	55	36	38	56	47	52
AC113189.5	70	100	37	32	55	181	144	161	112	199
AC114271.2	53	51	27	6	50	42	25	53	50	77
AC114494.1	71	29	22	5	24	30	17	55	24	16
AC114730.3	189	371	176	8	57	945	623	1031	630	26
AC116366.6	25	86	39	6	54	65	68	122	142	154
AC125232.1	39	84	40	8	26	43	68	113	34	66
AC133528.2	52	141	58	53	124	128	102	130	103	136
AC133644.2	5	17	9	17	4	5	1	4	17	16
AC137932.4	33	45	7	0	34	20	32	55	34	44
AC141586.5	65	120	36	1	61	44	55	78	49	64
AC142472.6	17	24	14	0	25	50	34	43	31	86
AC144530.1	52	42	14	7	9	126	39	130	89	86
AC144652.1	39	39	41	12	47	23	36	36	31	77
AC144831.1	20	37	8	2	14	276	122	266	103	351
AC147651.4	19	15	8	3	5	9	10	12	42	26
AC156455.1	11	124	27	6	34	35	77	40	20	43
AC245100.1	28	39	27	15	55	65	18	45	62	56
AC253572.1	19	17	23	19	17	29	30	30	6	7
ACAA1	2323	1848	1241	559	2046	6278	2597	5892	5710	9980
ACAA2	1585	3761	2538	420	3634	24178	6007	24877	21455	18273
ACACA	2647	3663	1651	246	2240	2071	3061	2034	2459	1436
ACACB	866	1139	177	207	573	3710	5396	3983	2639	4250
ACAD10	438	1320	559	106	699	2565	1133	2924	2185	2613
ACAD8	465	1294	769	123	583	1700	1314	1852	1487	1513
ACAD9	1937	1475	1233	234	1337	1989	1501	1941	1731	1561
ACADM	396	1286	2578	44	165	3949	2101	6123	3361	6646
ACADS	550	1394	1462	673	1577	15129	4213	15656	16251	19590
ACADSB	159	1446	431	31	281	2407	1811	2729	1731	1975
ACADVL	4531	7678	3814	2428	6973	24387	11684	26095	20376	28429
ACAN	481	585	110	21	367	15	81	21	49	25
ACAP1	130	273	123	130	183	560	225	639	1455	520
ACAP2	486	2086	1863	79	670	3623	2656	4314	3188	4224
ACAP3	1996	1442	641	622	858	1487	1212	1246	1375	1917
ACAT1	1258	1764	3082	202	1240	9228	3754	9292	5094	3991
ACAT2	979	1269	926	228	1184	2017	2151	1929	2777	1119
ACBD3	1262	2557	2495	259	1269	2988	2141	3201	2429	2375
ACBD4	147	390	187	135	259	884	561	1113	647	2883
ACBD5	809	2276	1765	135	727	2796	1749	3639	2256	6361
ACBD7	42	26	46	0	35	13	4	14	28	13
ACCS	159	299	274	15	173	293	237	475	308	486
ACD	846	1102	779	349	1091	722	599	722	665	849
ACE	749	1436	1327	176	1769	3269	1881	1993	1913	157236
ACE2	30	2577	681	91	1483	3044	1061	2365	2112	66357
ACER2	109	206	66	2	45	265	76	361	152	146
ACER3	386	1186	954	96	491	1883	1366	2658	1610	1450
ACHE	385	686	104	143	172	1642	1547	702	1920	2113
ACIN1	3809	6033	2181	715	2588	6311	5388	8648	6309	5846
ACKR1	289	426	71	52	130	1381	1391	889	1102	1725
ACKR2	20	40	22	0	11	260	86	361	315	110
ACKR3	775	866	265	213	927	1992	1778	2260	1001	2752
ACLY	7957	10600	5643	751	6154	6496	5823	6891	6112	12249
ACN9	191	523	692	154	376	617	406	616	514	558
ACO1	1511	2049	2354	490	1853	3758	3347	3899	4326	7355
ACO2	3112	5122	5496	827	4067	15896	8673	17047	11649	25478
ACOT1	42	54	95	25	100	301	77	264	329	776
ACOT11	1006	915	794	262	1287	2975	1892	3641	2083	4550
ACOT13	442	1066	724	99	371	2388	962	2933	2192	1919
ACOT2	212	535	295	41	381	1757	916	1125	1055	2488
ACOT4	49	118	111	8	77	326	175	288	387	523
ACOT7	4124	2543	1846	1496	3049	3575	1871	2781	4113	6715
ACOT8	1331	1742	603	636	1379	2682	971	2018	1903	2956
ACOT9	1221	1746	1316	231	1042	1321	1248	1116	1016	1723
ACOX1	1453	5512	5203	349	2164	14947	5793	20191	18568	23205
ACOX2	597	268	863	146	676	837	780	1043	479	3498
ACOX3	424	943	741	142	390	1827	725	1504	1661	1613
ACP1	2947	2921	4445	881	2386	3360	2142	3860	2864	4213
ACP2	1485	2253	986	411	816	3875	1663	3527	3294	5124
ACP5	1030	3723	1029	626	992	3539	1069	4331	5967	2024
ACP6	370	561	620	177	1097	512	343	813	573	1318
ACPP	42	94	274	18	106	154	53	170	156	52
ACRBP	19	125	44	33	54	127	55	244	140	555
ACRC	23	35	31	0	20	31	20	48	35	34
ACSF2	510	3439	513	333	598	5254	1314	7149	5044	7007
ACSF3	833	1987	512	693	1492	2850	1246	3022	2216	4106
ACSL1	1435	1459	1757	86	567	1314	2249	1911	1974	1952
ACSL3	1866	3656	6118	145	1706	4133	4214	4227	4183	3167
ACSL4	712	2370	1672	70	889	1116	2075	1663	1472	1286
ACSL5	6335	21035	7893	1421	8106	21534	10545	31303	22024	64496
ACSL6	167	2740	2054	142	174	56	62	62	80	95
ACSM1	5	58	19	5	64	42	60	36	39	101
ACSM3	78	630	374	46	356	1760	770	2246	1366	412
ACSS1	4748	3813	2259	729	1834	4003	2291	4765	3019	6917
ACSS2	4626	8461	3144	1304	6414	19592	8268	18691	16435	14469
ACSS3	42	105	36	10	17	116	158	175	72	294
ACTA2	7037	10306	2274	1074	4175	15309	33940	17223	10762	13674
ACTA2-AS1	70	123	21	15	21	78	213	206	73	57
ACTB	259183	194884	143297	85968	247428	369697	393437	244168	294109	314067
ACTBP2	510	5	286	240	145	42	23	38	31	27
ACTC1	86	48	22	3	15	100	284	70	20	41
ACTG1	139146	183692	136597	44260	154968	278902	191382	231433	199302	146854
ACTG2	5937	2548	910	269	1796	73314	210170	32328	5091	121868
ACTL10	432	406	305	207	376	194	84	137	181	139
ACTL6A	2832	2960	3533	458	1876	2091	1612	2450	1690	1943
ACTN1	11655	16057	5168	1706	6640	17842	36995	12756	7515	15238
ACTN4	49686	57620	18690	4059	27603	66560	45443	54886	52344	52982
ACTR10	425	1940	908	68	395	2499	2061	2714	2195	3014
ACTR1A	2352	5288	1756	821	2710	8314	6177	7252	6133	8352
ACTR1B	2460	2660	2014	872	3033	4863	2795	5068	3876	6810
ACTR2	5453	14358	12773	498	4150	17079	13089	18147	17362	15759
ACTR3	6870	11620	12050	1114	4926	11984	9765	12134	11826	11284
ACTR3B	432	401	243	122	304	195	197	251	214	176
ACTR3C	70	166	60	3	84	177	136	154	135	189
ACTR5	675	1066	294	160	289	440	291	480	426	387
ACTR6	278	594	643	24	218	830	667	978	792	935
ACTR8	797	1056	1027	81	567	1063	895	1516	974	764
ACTRT3	42	92	62	13	51	73	43	78	61	75
ACVR1	891	1424	629	128	651	1265	1251	1349	1087	1363
ACVR1B	2012	4191	2469	596	1813	7756	2770	7886	5114	7089
ACVR1C	128	207	85	0	24	657	240	1363	609	810
ACVR2A	511	741	365	18	222	1004	617	1130	866	2527
ACVR2B	443	632	289	55	158	369	402	563	330	412
ACVR2B-AS1	19	80	19	0	18	66	58	84	33	51
ACVRL1	1457	3131	3112	1486	1947	14372	6214	8139	10447	1703
ACY1	315	251	276	127	461	595	219	543	458	2594
ACY3	163	319	367	209	239	489	168	428	605	4516
ACYP1	150	217	228	35	154	211	151	285	151	134
ACYP2	201	215	353	56	145	386	248	384	353	490
AD000092.3	526	17	13	249	102	11	9	22	7	8
ADA	538	355	164	111	559	226	136	222	535	186
ADAL	76	179	156	16	71	378	294	429	263	283
ADAM10	1349	3248	4628	77	1987	7638	3983	7038	5096	7098
ADAM12	641	2774	442	26	188	35	52	42	51	26
ADAM15	8361	6098	5101	3511	7766	7476	5248	7801	7937	5744
ADAM17	726	1129	645	52	545	643	572	962	695	872
ADAM19	814	3564	810	94	2417	1020	1678	935	1558	942
ADAM22	98	391	96	19	46	288	278	584	346	284
ADAM23	57	116	57	2	20	195	220	189	237	212
ADAM28	32	368	95	24	174	741	377	1507	1376	584
ADAM32	42	720	30	1	38	45	70	46	69	13
ADAM33	148	240	26	40	73	402	1181	723	244	643
ADAM8	403	1036	313	77	548	311	187	394	892	374
ADAM9	808	12335	4878	125	1720	4563	5460	5793	5038	6397
ADAMDEC1	107	2043	557	49	669	15785	6427	29723	14006	18771
ADAMTS1	1152	1056	375	99	533	4825	3457	7821	2408	4841
ADAMTS10	125	213	43	35	90	136	217	220	125	127
ADAMTS12	461	2446	936	55	443	99	115	91	67	127
ADAMTS13	165	103	119	27	117	146	120	197	167	112
ADAMTS14	323	761	193	37	179	195	123	171	272	259
ADAMTS15	349	101	1513	11	406	408	254	334	459	343
ADAMTS16	199	143	32	1	34	88	197	103	108	33
ADAMTS17	134	105	80	3	43	190	78	209	159	204
ADAMTS2	2401	5396	1434	306	989	585	536	1162	462	346
ADAMTS3	24	43	19	5	16	17	33	16	21	18
ADAMTS4	843	1060	386	101	670	281	166	692	121	1086
ADAMTS5	127	357	154	0	91	297	403	453	243	463
ADAMTS6	31	127	42	0	37	16	28	26	27	14
ADAMTS7	287	596	170	52	342	290	252	208	302	144
ADAMTS8	60	57	38	6	80	210	988	119	112	637
ADAMTS9	416	1015	421	24	444	242	834	236	262	352
ADAMTSL1	288	201	105	16	49	726	1159	1328	788	414
ADAMTSL2	526	212	137	37	271	291	251	212	131	149
ADAMTSL3	116	169	41	11	39	1083	2568	711	375	676
ADAMTSL4	234	418	117	20	114	876	1248	1464	850	765
ADAMTSL5	170	193	67	40	232	140	123	156	155	1053
ADAP1	2630	2048	1876	1336	1995	4857	1595	3361	3253	3125
ADAP2	143	406	178	5	84	467	293	802	596	257
ADAR	9472	14762	9254	1380	7704	14419	10764	14731	16456	18344
ADARB1	340	618	87	141	151	1019	1993	955	541	548
ADAT1	336	1213	1013	27	601	677	724	797	628	740
ADAT2	288	526	284	52	318	211	250	377	216	125
ADAT3	495	146	170	243	315	558	121	341	449	529
ADCK1	459	731	182	133	262	629	391	581	672	465
ADCK2	1534	1548	1311	440	1363	2785	1159	2657	2051	1340
ADCK3	3245	5311	2427	788	2141	5219	2722	5985	3444	2569
ADCK4	935	1161	604	419	773	1564	896	1517	1220	2137
ADCK5	715	867	330	306	886	981	373	772	942	1799
ADCY1	164	103	35	14	33	90	102	157	73	77
ADCY10P1	36	195	191	28	26	78	75	177	70	143
ADCY2	35	118	23	9	27	267	578	201	92	253
ADCY3	2394	2551	1062	278	901	1004	1315	1341	1189	747
ADCY4	204	380	93	20	198	227	291	325	262	360
ADCY5	233	293	36	6	53	2113	2388	1670	1121	1532
ADCY6	1682	3112	1921	351	2039	8643	3543	9874	5843	5516
ADCY7	383	464	161	75	341	478	409	730	786	240
ADCY9	897	1514	849	157	517	4410	2888	4777	3486	7080
ADD1	4595	11138	5851	961	3468	18583	15435	17391	13620	18790
ADD3	1080	5806	6261	125	3104	8949	5067	11712	5710	14473
ADD3-AS1	6	31	86	5	61	64	42	69	23	88
ADH1B	1248	862	12	25	79	6355	6038	9565	3663	6626
ADH1C	100	3028	423	282	950	22323	6010	29437	19909	10818
ADH5	4251	3817	6894	710	2887	9521	6808	12625	8125	10369
ADH6	5	134	313	12	321	810	317	1537	756	2313
ADHFE1	10	73	4	3	8	157	212	237	97	261
ADI1	2661	2624	3749	676	2576	5630	3231	5732	4601	11445
ADIPOR1	1456	4219	4849	709	2649	5589	2933	6421	4553	6665
ADIPOR2	1884	4054	3381	459	2803	7552	6475	7139	6564	9951
ADIRF-AS1	74	132	149	39	140	73	82	115	74	459
ADK	510	1052	1428	145	686	708	569	959	765	817
ADM	703	897	268	99	409	1098	1350	1240	1208	976
ADM2	229	388	79	85	349	450	120	213	409	1664
ADM5	69	23	17	6	35	46	29	31	26	18
ADNP	5217	6117	4886	402	3039	4166	3889	5123	3604	5236
ADNP-AS1	35	40	29	1	41	54	22	65	37	51
ADNP2	731	1032	784	106	621	1452	1120	1743	1162	1612
ADO	570	1105	993	159	544	1079	884	1281	892	1119
ADORA1	40	141	32	21	33	83	49	83	72	28
ADORA2B	690	748	406	170	298	872	1191	1311	1151	129
ADORA3	69	156	52	2	34	548	73	1640	642	390
ADPGK	693	1614	2064	164	889	1751	1123	2241	1893	1888
ADPRH	222	465	196	24	184	350	519	407	337	251
ADPRHL1	50	76	181	18	155	416	131	374	201	713
ADPRHL2	1151	1416	981	470	609	1452	891	1495	1315	1744
ADPRM	83	171	95	41	97	287	198	340	253	516
ADRA2A	306	580	166	105	662	1933	716	1694	3463	692
ADRA2B	18	18	12	7	29	53	29	128	51	46
ADRA2C	371	152	48	30	176	139	81	77	76	107
ADRB1	18	28	1	0	5	73	73	123	116	250
ADRB2	14	74	8	4	16	101	101	185	171	137
ADRBK1	7363	8595	6262	4255	10265	9131	4860	9763	8809	8730
ADRBK2	357	839	222	25	100	416	575	687	484	461
ADRM1	9236	6580	2454	2927	6176	5566	3713	3684	4596	4683
ADSL	1537	2591	1697	425	1401	2412	1671	2545	1971	1890
ADSS	1290	2626	2522	184	1035	2914	2341	3384	2658	3209
ADSSL1	38	76	13	10	26	124	156	195	146	511
ADTRP	8	445	87	101	256	6257	1272	6151	8934	7046
AEBP1	9339	25236	2390	1034	3947	6347	8857	11379	7552	5793
AEBP2	684	949	869	124	535	1065	1209	1365	863	1011
