	TCGA-A6-2671-01A	TCGA-A6-2675-01A	TCGA-A6-2678-01A	TCGA-A6-2679-01A	TCGA-A6-2680-01A	TCGA-A6-2671-11A	TCGA-A6-2675-11A	TCGA-A6-2678-11A	TCGA-A6-2679-11A	TCGA-A6-2680-11A
CTC-463A16.1	16	20	17	3	10	27	42	31	22	51
CTC-471J1.2	8	16	10	0	3	18	13	22	22	17
CTC-479C5.10	18	67	18	4	34	25	21	53	41	41
CTC-479C5.12	45	122	102	22	71	43	37	80	95	83
CTC-487M23.5	15	29	19	0	3	10	29	17	22	13
CTC-487M23.6	7	35	18	1	5	9	29	15	17	21
CTC-510F12.2	2	44	9	0	7	27	64	21	11	45
CTC-523E23.11	28	34	5	0	0	37	35	51	25	9
CTC-523E23.3	17	73	36	0	2	49	40	60	38	35
CTC-524C5.2	78	97	36	28	44	71	64	166	75	72
CTC-529I10.2	17	21	10	3	12	23	11	42	29	36
CTC-534A2.2	31	81	111	4	22	84	53	101	86	194
CTC-550B14.7	12	61	81	0	34	36	55	104	38	37
CTC-559E9.1	24	44	25	2	15	55	68	72	52	57
CTC-559E9.5	20	70	44	3	20	97	67	115	65	109
CTC-559E9.6	21	41	15	0	15	56	38	50	28	46
CTC-559E9.8	10	33	20	0	3	27	20	44	20	33
CTC-575D19.1	254	62	74	335	3963	123	36	165	72	2166
CTC1	563	995	421	104	603	1438	1195	2031	1605	1646
CTCF	1889	2883	3219	311	1806	3877	2669	4567	3313	3320
CTD-2002H8.2	9	38	6	0	13	17	13	45	21	24
CTD-2006C1.2	51	91	75	22	44	116	74	124	68	96
CTD-2006H14.2	37	55	33	1	25	46	45	61	40	27
CTD-2010I16.1	18	16	18	0	23	20	50	35	12	30
CTD-2013N17.6	26	63	27	0	16	30	45	72	36	22
CTD-2013N24.2	19	18	17	0	5	29	33	36	23	35
CTD-2015H6.3	25	79	132	7	47	66	86	84	56	75
CTD-2017D11.1	24	51	24	1	27	50	29	132	35	27
CTD-2017F17.2	2	12	11	0	2	18	13	10	14	11
CTD-2020K17.1	14	58	9	20	18	18	20	34	58	31
CTD-2020K17.4	14	42	22	70	69	40	29	45	37	79
CTD-2026D20.3	7	55	45	3	24	40	23	63	62	82
CTD-2031P19.4	102	33	1	62	82	34	18	47	29	20
CTD-2033A16.2	146	4	31	61	22	17	2	25	6	15
CTD-2047H16.4	24	44	13	9	16	28	51	29	19	26
CTD-2095E4.5	8	28	13	9	26	10	8	7	10	38
CTD-2124B8.2	11	21	28	3	6	29	21	29	23	41
CTD-2132N18.2	19	51	28	12	18	46	27	81	29	57
CTD-2132N18.4	7	28	24	6	9	27	11	33	30	29
CTD-2134A5.4	10	19	2	3	8	55	14	42	40	67
CTD-2147F2.1	101	0	86	4	37	3	0	6	20	8
CTD-2186M15.3	94	169	94	4	78	305	124	272	215	465
CTD-2192J16.15	130	129	203	85	95	223	68	241	118	159
CTD-2192J16.20	51	47	15	8	32	44	20	52	52	48
CTD-2192J16.22	296	10	380	931	81	41	8	34	24	42
CTD-2196E14.6	9	30	14	0	1	6	10	20	15	11
CTD-2196E14.8	31	71	21	6	27	32	29	84	32	19
CTD-2201E18.3	29	149	33	9	37	103	73	132	123	102
CTD-2201I18.1	35	26	33	0	26	22	53	34	15	15
CTD-2203K17.1	13	20	20	0	2	46	14	56	42	21
CTD-2227E11.1	68	26	56	13	40	17	13	23	31	14
CTD-2228K2.7	625	647	237	945	1556	632	76	529	1361	304
CTD-2231E14.2	77	38	39	13	45	30	35	40	33	23
CTD-2245F17.3	8	40	0	1	14	34	31	43	44	28
CTD-2256P15.2	7	28	26	5	26	32	17	27	28	59
CTD-2260A17.1	9	41	15	1	5	55	25	64	63	88
CTD-2260A17.2	9	28	15	2	21	58	44	61	62	66
CTD-2267D19.1	15	34	2	7	28	16	14	36	22	41
CTD-2267D19.3	137	311	77	19	170	653	362	701	604	334
CTD-2270L9.4	20	59	25	11	19	147	47	137	84	96
CTD-2270N23.1	60	15	9	37	18	28	4	51	31	20
CTD-2270P14.1	78	324	141	24	181	190	253	407	285	286
CTD-2270P14.5	47	39	27	3	29	52	22	36	35	11
CTD-2284J15.1	11	18	61	0	10	35	15	69	36	37
CTD-2287O16.1	195	300	11	119	41	223	175	194	125	102
CTD-2287O16.5	19	35	11	14	32	26	41	51	37	32
CTD-2292M16.8	15	58	17	0	12	38	59	69	38	65
CTD-2313J17.5	5	7	26	1	20	20	3	28	18	7
CTD-2319I12.4	15	41	13	0	18	33	22	51	33	11
CTD-2328D6.1	130	10	24	3	42	25	9	40	15	24
CTD-2331H12.5	7	32	107	0	17	26	32	94	28	46
CTD-2336O2.1	72	125	108	66	61	291	272	290	189	319
CTD-2349P21.9	3	16	13	0	10	18	17	13	12	11
CTD-2366F13.1	44	154	138	4	58	125	91	190	137	114
CTD-2368P22.1	8	37	11	10	16	64	115	197	86	80
CTD-2371O3.3	18	46	31	6	18	15	11	37	18	17
CTD-2377D24.6	668	4267	3061	131	1670	1488	670	1682	1107	784
CTD-2396E7.11	196	563	481	27	157	1968	765	1649	1454	1996
CTD-2510F5.4	40	58	117	1	47	45	17	71	65	29
CTD-2516F10.2	18	27	8	1	4	59	29	72	34	41
CTD-2517M22.14	98	68	11	5	72	33	13	57	40	120
CTD-2517O10.6	13	35	30	0	24	31	24	25	24	28
CTD-2521M24.9	76	68	197	10	51	92	63	114	155	64
CTD-2523D13.2	7	11	19	5	14	16	3	30	16	16
CTD-2528L19.6	1	80	33	0	16	35	38	74	45	38
CTD-2537I9.12	29	154	16	5	20	9	17	55	19	21
CTD-2538C1.2	18	29	25	0	13	45	18	40	42	56
CTD-2540F13.2	84	29	8	4	21	19	9	4	21	26
CTD-2541M15.1	3	19	12	6	8	62	22	103	58	17
CTD-2547G23.4	53	95	48	9	52	40	40	93	65	57
CTD-2553L13.10	17	37	23	6	27	44	32	46	37	37
CTD-2553L13.9	22	36	25	0	30	77	32	85	49	54
CTD-2555C10.3	2	29	7	7	14	15	11	17	44	306
CTD-2555O16.4	21	31	13	13	13	28	46	37	27	41
CTD-2561B21.8	32	43	61	1	23	118	88	154	72	44
CTD-2561J22.2	12	37	22	0	17	18	30	33	21	21
CTD-2562J17.6	220	682	386	75	281	1561	1158	1921	929	1308
CTD-2566J3.1	47	136	776	1	31	521	26	573	600	397
CTD-2574D22.2	17	35	16	0	16	21	16	26	14	50
CTD-2574D22.3	72	86	34	4	75	42	33	98	70	78
CTD-2574D22.4	60	174	89	8	70	74	65	110	72	91
CTD-2576D5.4	11	18	38	26	21	44	22	31	32	21
CTD-2583A14.11	106	145	171	23	75	117	48	134	87	120
CTD-2583A14.8	54	224	186	61	60	110	71	130	107	124
CTD-2587H24.14	27	29	20	0	19	32	28	37	23	41
CTD-2589H19.6	17	10	2	13	27	22	7	13	40	3
CTD-2600H12.2	7	26	15	0	16	14	12	27	14	24
CTD-2619J13.14	263	412	177	18	140	288	211	413	232	237
CTD-2619J13.17	15	31	26	0	3	35	63	117	44	35
CTD-2619J13.19	25	20	28	3	3	10	6	17	11	11
CTD-2623N2.3	11	16	9	0	4	11	20	22	16	20
CTD-2630F21.1	11	33	8	1	18	61	30	49	45	51
CTD-2647L4.4	4	26	14	0	8	40	34	67	37	40
CTD-2649C14.2	20	53	29	6	45	20	19	62	26	32
CTD-3010D24.3	18	26	55	31	19	76	26	52	70	228
CTD-3025N20.3	0	25	18	0	7	16	19	34	24	30
CTD-3035D6.1	718	12	97	475	121	26	11	18	19	10
CTD-3064M3.3	6	36	5	2	27	50	88	64	66	200
CTD-3065J16.9	65	46	35	16	54	50	27	61	47	36
CTD-3074O7.5	13	131	74	7	64	156	101	229	90	166
CTD-3088G3.8	23	77	11	1	23	31	17	60	51	18
CTD-3092A11.2	6	68	20	0	7	20	53	76	43	29
CTD-3094K11.1	5	18	28	2	16	80	18	65	57	91
CTD-3099C6.11	25	26	25	1	6	43	31	92	53	72
CTD-3099C6.9	5	34	35	0	14	11	36	21	15	24
CTD-3128G10.6	23	40	21	1	11	11	10	21	15	24
CTD-3131K8.2	29	32	22	1	20	35	29	34	26	44
CTD-3138B18.5	85	84	88	42	82	136	89	148	131	94
CTD-3157E16.1	15	58	32	0	15	122	146	200	122	103
CTD-3157E16.2	14	59	63	1	38	213	184	252	140	132
